City,Population,Violent,Murder and,Rape,Rape,Robbery,Aggravated,Property,Burglary,Larceny-,Motor,Arson,,,,,
,,crime,nonnegligent,(revised,(legacy,,assault,crime,,theft,vehicle,,,,,,
,,,manslaughter,definition1),definition2),,,,,,theft,,,,,Lat,Long
Addison,"37,246",50,0,4,,18,28,653,77,536,40,2,"Addison, IL",32.96179,-96.8291685,,
Albany,887,0,0,0,,0,0,39,23,16,0,0,"Albany, IL",#ERROR!,#ERROR!,,
Aledo,"3,549",0,0,0,,0,0,37,5,32,0,0,"Aledo, IL",#ERROR!,#ERROR!,,
Alexis,805,0,0,0,,0,0,12,2,9,1,0,"Alexis, IL",36.105357,#ERROR!,,
Algonquin,"30,673",12,0,4,,1,7,381,30,349,2,1,"Algonquin, IL",42.1655801,-88.2942493,,
Alsip,"19,357",19,0,0,,19,0,546,109,407,30,1,"Alsip, IL",#ERROR!,#ERROR!,,
Altamont,"2,306",1,0,0,,0,1,33,12,20,1,0,"Altamont, IL",37.1903448,-95.2971928,,
Alton,"26,829",143,2,28,,31,82,"1,073",266,761,46,5,"Alton, IL",38.8906038,-90.1842764,,
Amboy,"2,330",2,0,1,,0,1,22,5,17,0,0,"Amboy, IL",34.5577721,-115.7444411,,
Anna,"4,300",15,0,0,,4,11,112,12,97,3,0,"Anna, IL",33.3490011,-96.5485991,,
Annawan,854,0,0,0,,0,0,10,3,7,0,0,"Annawan, IL",#ERROR!,-89.9045517,,
Antioch,"14,302",25,0,10,,3,12,201,24,168,9,0,"Antioch, IL",#ERROR!,-121.805789,,
Arlington Heights,"76,077",58,0,8,,14,36,722,79,624,19,3,"Arlington Heights, IL",42.0883603,-87.9806265,,
Arthur,"2,288",5,0,1,,0,4,20,2,17,1,0,"Arthur, IL",#ERROR!,#ERROR!,,
Ashland,"1,241",0,0,0,,0,0,5,1,4,0,0,"Ashland, IL",#ERROR!,#ERROR!,,
Assumption,"1,106",3,0,0,,0,3,14,8,6,0,0,"Assumption, IL",35.0865087,-106.5586425,,
