Population,Violent,Murder and,Rape,Rape,Robbery,Aggravated,Property,Burglary,Larceny-,Motor,Arson,,,
,crime,nonnegligent,(revised,(legacy,,assault,crime,,theft,vehicle,,,,
,,manslaughter,definition1),definition2),,,,,,theft,,,,
37246,50,0,4,,18,28,653,77,536,40,2,"Addison, IL",41.931696,-87.9889556
887,0,0,0,,0,0,39,23,16,0,0,"Albany, IL",41.7894748,-90.2192941
3549,0,0,0,,0,0,37,5,32,0,0,"Aledo, IL",41.1997568,-90.7493063
805,0,0,0,,0,0,12,2,9,1,0,"Alexis, IL",41.0633703,-90.5559675
30673,12,0,4,,1,7,381,30,349,2,1,"Algonquin, IL",42.1655801,-88.2942493
19357,19,0,0,,19,0,546,109,407,30,1,"Alsip, IL",41.6689223,-87.7386619
2306,1,0,0,,0,1,33,12,20,1,0,"Altamont, IL",39.061988,-88.7481108
26829,143,2,28,,31,82,1073,266,761,46,5,"Alton, IL",38.8906038,-90.1842764
2330,2,0,1,,0,1,22,5,17,0,0,"Amboy, IL",41.7141997,-89.3287061
4300,15,0,0,,4,11,112,12,97,3,0,"Anna, IL",37.4603274,-89.2470282
854,0,0,0,,0,0,10,3,7,0,0,"Annawan, IL",41.3972573,-89.9045517
14302,25,0,10,,3,12,201,24,168,9,0,"Antioch, IL",42.4772418,-88.0956396
76077,58,0,8,,14,36,722,79,624,19,3,"Arlington Heights, IL",42.0883603,-87.9806265
2288,5,0,1,,0,4,20,2,17,1,0,"Arthur, IL",39.7147552,-88.472278
1241,0,0,0,,0,0,5,1,4,0,0,"Ashland, IL",39.8878264,-90.0078907
1106,3,0,0,,0,3,14,8,6,0,0,"Assumption, IL",39.5203188,-89.0489712
1928,2,0,0,,0,2,23,3,20,0,0,"Athens, IL",39.9608826,-89.7239944
4788,3,0,2,,0,1,76,21,53,2,0,"Auburn, IL",39.5917197,-89.7464874
201159,631,7,57,,130,437,2867,441,2259,167,21,"Aurora, IL",41.7605849,-88.3200715
2108,2,0,0,,0,2,4,0,4,0,0,"Aviston, IL",38.6067151,-89.6075894
1569,0,0,0,,0,0,14,0,14,0,0,"Bannockburn, IL",42.1933581,-87.8664579
10357,3,1,1,,0,1,76,7,65,4,0,"Barrington, IL",42.1539141,-88.1361888
4256,0,0,0,,0,0,23,1,22,0,0,"Barrington Hills, IL",42.1391457,-88.1957427
1266,3,0,0,,0,3,22,5,15,2,0,"Barry, IL",39.6942134,-91.0390246
41600,32,0,1,,8,23,250,17,226,7,3,"Bartlett, IL",41.9950276,-88.1856301
6367,33,0,3,,4,26,176,28,141,7,0,"Bartonville, IL",40.6503158,-89.6520455
26558,26,0,3,,3,20,414,15,394,5,6,"Batavia, IL",41.8500284,-88.3125738
5664,62,0,2,,1,59,,,,0,0,"Beardstown3, IL",40.0175483,-90.4242916
4465,3,0,0,,2,1,26,1,23,2,1,"Beecher, IL",41.34059,-87.6214286
398,0,0,0,,0,0,2,0,2,0,0,"Belgium, IL",40.0614255,-87.6380766
41638,253,1,30,,51,171,1659,471,1108,80,9,"Belleville, IL",38.5200504,-89.9839935
19353,103,2,14,,46,41,406,102,264,40,2,"Bellwood, IL",41.8814197,-87.883117
25049,65,0,19,,3,43,280,42,227,11,6,"Belvidere, IL",42.2639098,-88.8442674
18454,21,1,7,,8,5,291,56,209,26,0,"Bensenville, IL",41.9550296,-87.9400657
5201,10,0,1,,4,5,87,15,69,3,0,"Berkeley, IL",41.8889194,-87.9033956
56305,170,2,15,,73,80,1235,273,889,73,3,"Berwyn, IL",41.8505874,-87.7936685
9314,9,0,2,,6,1,115,10,101,4,0,"Bethalto, IL",38.9092138,-90.0406608
614,0,0,0,,0,0,3,0,3,0,0,"Blandinsville, IL",40.556152,-90.8659692
78604,307,0,42,,59,206,1347,224,1064,59,11,"Bloomington, IL",40.4842027,-88.9936873
23637,115,1,11,,49,54,567,127,381,59,1,"Blue Island, IL",41.6572562,-87.6800486
670,0,0,0,,0,0,0,0,0,0,0,"Bluffs, IL",39.7519902,-90.5351258
